Key,Value,Source File,Line Number,Property Name,Element Name,Comment
"ui_Content_1","插件编译","MainWindow.xaml",30,"Content","ui","Source: MainWindow.xaml:30, Element: ui
Source: View/Compile.xaml:14, Element: TextBlock"
"ui_Content_2","项目重命名","MainWindow.xaml",35,"Content","ui","Source: MainWindow.xaml:35, Element: ui"
"ui_Content_3","快速访问","MainWindow.xaml",40,"Content","ui","Source: MainWindow.xaml:40, Element: ui
Source: View/QuickAccess.xaml:18, Element: TextBlock"
"ui_Content_4","清除缓存","MainWindow.xaml",46,"Content","ui","Source: MainWindow.xaml:46, Element: ui"
"ui_Content_5","自定义模板","MainWindow.xaml",52,"Content","ui","Source: MainWindow.xaml:52, Element: ui"
"ui_Content_6","项目压缩","MainWindow.xaml",58,"Content","ui","Source: MainWindow.xaml:58, Element: ui
Source: View/ProjectCompress.xaml:17, Element: TextBlock"
"ui_Content_7","终端","MainWindow.xaml",64,"Content","ui","Source: MainWindow.xaml:64, Element: ui"
"ui_Content_8","设置","MainWindow.xaml",71,"Content","ui","Source: MainWindow.xaml:71, Element: ui
Source: View/Settings.xaml:20, Element: TextBlock"
"ui_Content_9","关于","MainWindow.xaml",76,"Content","ui","Source: MainWindow.xaml:76, Element: ui
Source: View/About.xaml:17, Element: TextBlock"
"Author_Text","作者：C-Poplo","View/About.xaml",30,"Text","TextBlock","Source: View/About.xaml:30, Element: TextBlock"
"TextBlock_Text_11","一款简单的小工具，原开发目的是辅助用户将繁杂的命令操作转成简单的GUI操作，现正考虑将其打造成为集合各种开发小工具的统一平台。","View/About.xaml",31,"Text","TextBlock","Source: View/About.xaml:31, Element: TextBlock"
"TextBlock_Text_12","获取更新","View/About.xaml",39,"Text","TextBlock","Source: View/About.xaml:39, Element: TextBlock"
"TextBlock_Text_13","提出反馈","View/About.xaml",47,"Text","TextBlock","Source: View/About.xaml:47, Element: TextBlock"
"TextBlock_Text_14","项目进展","View/About.xaml",62,"Text","TextBlock","Source: View/About.xaml:62, Element: TextBlock"
"TextBlock_Text_15","使用说明","View/About.xaml",78,"Text","TextBlock","Source: View/About.xaml:78, Element: TextBlock"
"Run_Run_Content_16","快速访问：","View/About.xaml",82,"Run.Content","Run","Source: View/About.xaml:82, Element: Run"
"Run_Run_Content_17","编译工具：","View/About.xaml",88,"Run.Content","Run","Source: View/About.xaml:88, Element: Run"
"Run_Run_Content_18","缓存清理：","View/About.xaml",94,"Run.Content","Run","Source: View/About.xaml:94, Element: Run"
"Run_Run_Content_19","重命名工具：","View/About.xaml",100,"Run.Content","Run","Source: View/About.xaml:100, Element: Run"
"Run_Run_Content_20","自定义模板：","View/About.xaml",106,"Run.Content","Run","Source: View/About.xaml:106, Element: Run"
"Run_Run_Content_21","项目压缩：","View/About.xaml",112,"Run.Content","Run","Source: View/About.xaml:112, Element: Run"
"TextBlock_Text_22","缓存清理","View/Clear.xaml",15,"Text","TextBlock","Source: View/Clear.xaml:15, Element: TextBlock"
"TextBlock_Text_23","目录选择","View/Clear.xaml",24,"Text","TextBlock","Source: View/Clear.xaml:24, Element: TextBlock"
"TextBlock_Text_24","选择需要清理的项目目录：","View/Clear.xaml",27,"Text","TextBlock","Source: View/Clear.xaml:27, Element: TextBlock"
"TextBlock_Text_25","浏览","View/Clear.xaml",33,"Text","TextBlock","Source: View/Clear.xaml:33, Element: TextBlock
Source: View/Compile.xaml:47, Element: TextBlock
Source: View/Compile.xaml:69, Element: TextBlock
Source: View/ProjectCompress.xaml:41, Element: TextBlock
Source: View/ProjectCompress.xaml:129, Element: TextBlock
Source: View/ProjectCompress.xaml:149, Element: TextBlock
Source: View/Rename.xaml:75, Element: TextBlock
Source: View/Templates.xaml:57, Element: TextBlock"
"TextBlock_Text_26","选择清理过程中需要额外清理的目录：","View/Clear.xaml",36,"Text","TextBlock","Source: View/Clear.xaml:36, Element: TextBlock"
"TextBlock_Text_27","开始清理","View/Clear.xaml",55,"Text","TextBlock","Source: View/Clear.xaml:55, Element: TextBlock"
"TextBlock_Text_28","Zen存储服务器仪表盘","View/Clear.xaml",71,"Text","TextBlock","Source: View/Clear.xaml:71, Element: TextBlock"
"TextBlock_Text_29","选择引擎版本：","View/Clear.xaml",74,"Text","TextBlock","Source: View/Clear.xaml:74, Element: TextBlock"
"TextBlock_Text_30","打开Zen存储服务器仪表盘","View/Clear.xaml",81,"Text","TextBlock","Source: View/Clear.xaml:81, Element: TextBlock"
"TextBlock_Text_31","ZenDashboard文档","View/Clear.xaml",89,"Text","TextBlock","Source: View/Clear.xaml:89, Element: TextBlock"
"TextBlock_Text_32","清理日志","View/Clear.xaml",104,"Text","TextBlock","Source: View/Clear.xaml:104, Element: TextBlock
Source: View/Clear.xaml:111, Element: TextBlock"
"TextBlock_Text_33","清理 AutomationTool\Logs 目录下的所有内容和 Local\UnrealEngine 目录下的所有 XmlConfigCache.bin 文件","View/Clear.xaml",106,"Text","TextBlock","Source: View/Clear.xaml:106, Element: TextBlock"
"TextBlock_Text_34","引擎版本选择","View/Compile.xaml",23,"Text","TextBlock","Source: View/Compile.xaml:23, Element: TextBlock"
"TextBlock_Text_35","选择目标引擎版本进行编译","View/Compile.xaml",26,"Text","TextBlock","Source: View/Compile.xaml:26, Element: TextBlock"
"TextBlock_Text_36","插件路径设置","View/Compile.xaml",38,"Text","TextBlock","Source: View/Compile.xaml:38, Element: TextBlock"
"TextBlock_Text_37","选择要编译的插件路径","View/Compile.xaml",41,"Text","TextBlock","Source: View/Compile.xaml:41, Element: TextBlock"
"TextBlock_Text_38","输出路径设置","View/Compile.xaml",60,"Text","TextBlock","Source: View/Compile.xaml:60, Element: TextBlock"
"TextBlock_Text_39","请选择或创建空白文件夹作为输出路径","View/Compile.xaml",63,"Text","TextBlock","Source: View/Compile.xaml:63, Element: TextBlock"
"TextBlock_Text_40","执行编译","View/Compile.xaml",82,"Text","TextBlock","Source: View/Compile.xaml:82, Element: TextBlock"
"TextBlock_Text_41","开始编译","View/Compile.xaml",90,"Text","TextBlock","Source: View/Compile.xaml:90, Element: TextBlock"
"TextBlock_Text_42","项目信息","View/ProjectCompress.xaml",26,"Text","TextBlock","Source: View/ProjectCompress.xaml:26, Element: TextBlock
Source: View/ProjectCompress.xaml:55, Element: TextBlock"
"TextBlock_Text_43","项目路径","View/ProjectCompress.xaml",30,"Text","TextBlock","Source: View/ProjectCompress.xaml:30, Element: TextBlock"
"TextBlock_Text_44","项目缩略图","View/ProjectCompress.xaml",61,"Text","TextBlock","Source: View/ProjectCompress.xaml:61, Element: TextBlock"
"TextBlock_Text_45","压缩选项","View/ProjectCompress.xaml",76,"Text","TextBlock","Source: View/ProjectCompress.xaml:76, Element: TextBlock"
"TextBlock_Text_46","输入/输出产物为7z，-mx值越高，压缩效果越好，但所需的压缩时间也会增长。增量更新要求-mx=&lt;5，由于项目贴图难以压缩，故不推荐其设置过高","View/ProjectCompress.xaml",81,"Text","TextBlock","Source: View/ProjectCompress.xaml:81, Element: TextBlock"
